org_name,num_regs,num_genes,genome_len,type
Ambystoma_mexicanum,NA,19802,32000000000,Animal
Acanthochromis_polyacanthus,1939,24016,991584674,Animal
Ailuropoda_melanoleuca,1163,19343,2299509015,Animal
Amphilophus_citrinellus,1508,23675,844902565,Animal
Amphiprion_ocellaris,1819,23555,880720895,Animal
Amphiprion_percula,2058,23872,908939294,Animal
Anabas_testudineus,1954,24603,569705464,Animal
Anas_platyrhynchos_platyrhynchos,1338,16616,1136415641,Animal
Anolis_carolinensis,970,18595,1799143587,Animal
Anser_brachyrhynchus,1363,15544,1116992394,Animal
Aotus_nancymaae,2200,20320,2861668366,Animal
Apteryx_haastii,1410,16674,1221441152,Animal
Apteryx_owenii,1463,16196,1231276503,Animal
Apteryx_rowi,1502,16257,1228902927,Animal
Astatotilapia_calliptera,2463,26983,880428986,Animal
Astyanax_mexicanus,2364,26662,1335239201,Animal
Bison_bison_bison,1434,20224,2953622964,Animal
Bos_mutus,1622,20832,2645161911,Animal
Bos_taurus,1917,21861,2715853792,Animal
Caenorhabditis_elegans,1461,20222,100286401,Animal
Calidris_pugnax,1419,16421,1229094286,Animal
Calidris_pygmaea,1396,16331,1178350429,Animal
Callithrix_jacchus,1975,19563,2845375248,Animal
Canis_familiaris,1369,19857,2410976875,Animal
Canis_lupus_dingo,1741,21307,2439831515,Animal
Capra_hircus,1787,21343,2922813246,Animal
Carlito_syrichta,1634,18304,3453864793,Animal
Castor_canadensis,1513,20600,2518306629,Animal
Cavia_aperea,836,14218,2716396567,Animal
Cavia_porcellus,1402,18095,2723219641,Animal
Cebus_capucinus,2134,20200,2717703182,Animal
Cercocebus_atys,2436,20746,2848246356,Animal
Chelonoidis_abingdonii,1515,20200,2300739315,Animal
Chinchilla_lanigera,1531,17809,2390868971,Animal
Chlorocebus_sabaeus,1099,19165,2789656328,Animal
Choloepus_hoffmanni,567,12393,2467493195,Animal
Chrysemys_picta_bellii,1962,21176,2365766621,Animal
Ciona_intestinalis,482,16671,115227500,Animal
Ciona_savignyi,1129,11616,177003750,Animal
Colobus_angolensis_palliatus,2151,20467,2970124662,Animal
Coturnix_japonica,1574,15732,927656957,Animal
Cricetulus_griseus_chok1gshd,1531,20824,2358167390,Animal
Cricetulus_griseus_crigri,1263,19617,2399786820,Animal
Cricetulus_griseus_picr,1937,21972,2368906908,Animal
Crocodylus_porosus,1393,15226,2049536252,Animal
Cyanistes_caeruleus,1246,15470,1186980674,Animal
Cynoglossus_semilaevis,1944,21371,470199503,Animal
Cyprinodon_variegatus,1838,22993,1035184475,Animal
Danio_rerio,2814,25432,1373471384,Animal
Dasypus_novemcinctus,1250,22711,3631522717,Animal
Dipodomys_ordii,1329,16911,2236368847,Animal
Dromaius_novaehollandiae,1317,15615,1192237364,Animal
Drosophila_melanogaster,1346,13931,143726002,Animal
Echinops_telfairi,1016,16575,3833584941,Animal
Eptatretus_burgeri,1621,16513,2608383542,Animal
Equus_asinus_asinus,1770,19922,2321044345,Animal
Equus_caballus,2057,21516,2506966135,Animal
Erinaceus_europaeus,685,14601,3377541562,Animal
Esox_lucius,3199,23925,904497253,Animal
Felis_catus,1829,19409,2521863845,Animal
Ficedula_albicollis,890,15303,1116409277,Animal
Fukomys_damarensis,1291,17730,2333908859,Animal
Fundulus_heteroclitus,1901,23054,1021898560,Animal
Gadus_morhua,1207,20095,832114599,Animal
Gallus_gallus,1431,16779,1065365425,Animal
Gambusia_affinis,1773,21712,598663367,Animal
Gasterosteus_aculeatus,1443,20787,461533448,Animal
Gopherus_agassizii,1619,20135,2184966142,Animal
Gorilla_gorilla,2214,21587,3063362845,Animal
Haplochromis_burtoni,2023,23044,831411561,Animal
Heterocephalus_glaber_female,1681,20774,2618204639,Animal
Heterocephalus_glaber_male,1480,20742,2643978328,Animal
Hippocampus_comes,1539,20850,493775956,Animal
Homo_sapiens,6581,19997,3099411205,Animal
Ictalurus_punctatus,2405,23598,783274740,Animal
Ictidomys_tridecemlineatus,1519,18474,2478410228,Animal
Jaculus_jaculus,1440,17845,2835250258,Animal
Junco_hyemalis,1168,14551,958315288,Animal
Kryptolebias_marmoratus,1726,21911,680366794,Animal
Labrus_bergylta,1973,27270,805480555,Animal
Latimeria_chalumnae,1233,19569,2860591921,Animal
Lepidothrix_coronata,1197,15320,1079577334,Animal
Lepisosteus_oculatus,1298,18341,945878036,Animal
Lonchura_striata_domestica,1407,15917,1060169706,Animal
Loxodonta_africana,1434,20033,3196760833,Animal
Macaca_fascicularis,2395,21404,2946843739,Animal
Macaca_mulatta,2186,21099,3236224379,Animal
Macaca_nemestrina,2325,20872,2948703511,Animal
Manacus_vitellinus,1175,15928,1213150360,Animal
Mandrillus_leucophaeus,2060,20660,3062009412,Animal
Marmota_marmota_marmota,1342,20350,2510587383,Animal
Mastacembelus_armatus,2163,23279,593065986,Animal
Maylandia_zebra,2120,27156,957485262,Animal
Meleagris_gallopavo,784,14123,1061817103,Animal
Melopsittacus_undulatus,1082,14568,1117373619,Animal
Meriones_unguiculatus,1574,21116,2523124146,Animal
Mesocricetus_auratus,1310,18257,2504925049,Animal
Microcebus_murinus,2158,18816,2487409165,Animal
Microtus_ochrogaster,1509,19130,2287357235,Animal
Mola_mola,1653,21397,639451992,Animal
Monodelphis_domestica,1060,21327,3605631728,Animal
Monopterus_albus,2177,22121,684144153,Animal
Mus_caroli,3108,19613,2553112587,Animal
